dates,shore,Hs,Tp,Dir,Eng,,,real_dates
8/12/2011,386.482967,1.3793631,7.0288424,233.88483,6.552953608,,,
9/12/2011,386.4665492,1.3041372,9.459553,232.88544,7.883394521,,,
10/12/2011,386.4501103,1.227002,8.873784,232.73148,6.546293525,,,
11/12/2011,386.4336668,1.114927,12.3826685,234.61685,7.542289395,,,
12/12/2011,386.4172349,1.0798917,14.120595,237.11671,8.068809896,,,
13/12/2011,386.4008311,1.0961206,11.551939,237.21156,6.800919691,,,
14/12/2011,386.3844714,1.4038019,17.530197,238.23158,16.92756649,,,
15/12/2011,386.3681721,2.0263243,17.47435,237.85767,35.15725956,,,
16/12/2011,386.3519494,2.1895683,15.245832,240.73695,35.81493799,,,
17/12/2011,386.3358193,1.9247503,13.632964,237.8556,24.74771807,,,
18/12/2011,386.3197979,1.6834167,12.617511,235.30212,17.52076378,,,
19/12/2011,386.3039015,1.5004117,12.135035,234.45258,13.38622121,,,
20/12/2011,386.2881461,1.3200797,12.054081,232.54865,10.29272787,,,
21/12/2011,386.2725479,0.95798385,11.393182,231.60835,5.123390875,,,
22/12/2011,386.2571232,0.76295036,12.477274,235.15436,3.558839128,,,
23/12/2011,386.2418883,0.92963094,14.206036,238.12436,6.01575485,,,
24/12/2011,386.2268594,1.0029474,13.856255,235.7214,6.82964706,,,
25/12/2011,386.2120531,0.9525423,12.797652,235.97504,5.689772709,,,
26/12/2011,386.1974859,0.90280545,12.477655,236.77235,4.983304186,,,
27/12/2011,386.1831743,0.9114927,13.200892,238.49416,5.374100052,,,
28/12/2011,386.1691351,0.8418038,13.587905,236.98062,4.718134809,,,
29/12/2011,386.155385,1.0567893,15.093567,237.3078,8.259709663,,,
30/12/2011,386.1419412,1.476832,17.997875,236.36339,19.23443791,,,
31/12/2011,386.1288204,1.7210296,15.611747,236.06508,22.65814044,,,
1/01/2012,386.1160401,1.8499063,7.0027804,234.87392,11.74264821,,,
2/01/2012,386.1036174,2.0216465,9.974773,233.35146,19.97604638,,,
3/01/2012,386.0915697,1.9669455,7.3949475,235.47054,14.01896103,,,
4/01/2012,386.0799145,1.5649456,6.379781,234.41408,7.655972092,,,
5/01/2012,386.0686696,1.1300104,8.19322,235.26364,5.126436444,,,
6/01/2012,386.0578526,1.184425,10.714717,236.52766,7.365325015,,,
7/01/2012,386.0474814,1.6522954,9.55244,235.03545,12.77867386,,,
8/01/2012,386.037574,2.1628382,6.6275105,233.10883,15.19128696,,,
9/01/2012,386.0281484,1.7463276,6.814907,233.48618,10.18374344,,,
10/01/2012,386.0192227,1.3384088,10.238637,236.31459,8.987021749,,,
