dates,shore,Hs,Tp,Dir,Eng,,,real_dates
7/02/2020,386.6766155,0.973735452,9.623942375,57.48865128,4.471271671,,,
8/02/2020,386.7117128,0.848581791,10.39605713,47.34416199,3.6681928,,,
9/02/2020,386.7445045,0.716745615,10.73027802,44.45113754,2.701078113,,,
10/02/2020,386.7749898,0.700994015,11.93570518,35.5582962,2.873907481,,,
11/02/2020,386.8031681,0.752735615,16.32944679,11.3377161,4.533696892,,,
12/02/2020,386.8290385,0.754549444,15.03791237,9.980902672,4.195261497,,,
13/02/2020,386.8526002,0.712163329,13.88279343,8.068716049,3.450103755,,,
14/02/2020,386.8738122,0.839894533,11.98477364,20.22299576,4.14262312,,,
15/02/2020,386.8926749,1.139938593,9.279603004,41.07147217,5.908651711,,,
16/02/2020,386.9091886,1.080082536,6.720206261,45.86774826,3.841426877,,,
17/02/2020,386.9233535,0.973448992,8.757222176,56.67277908,4.066201043,,,
18/02/2020,386.9351698,1.003615618,9.93133831,61.83746338,4.901609153,,,
19/02/2020,386.9446376,1.064044595,11.99336624,57.01507568,6.653602256,,,
20/02/2020,386.951757,1.113017797,12.17245674,51.29431915,7.38887871,,,
21/02/2020,386.9565282,1.166859627,11.99059677,46.8465271,7.999707459,,,
22/02/2020,386.9589511,1.056693792,10.16150188,45.32955933,5.559711989,,,
23/02/2020,386.9590257,0.787580132,9.976015091,36.88486862,3.032094144,,,
24/02/2020,386.9567519,0.981086195,9.501080513,51.70947266,4.481087326,,,
25/02/2020,386.9521297,0.951874077,9.917686462,43.3836937,4.403170006,,,
26/02/2020,386.9451588,1.055739284,9.686090469,49.58420944,5.290027925,,,
27/02/2020,386.9358391,1.171251059,10.07033348,52.79891586,6.769240208,,,
28/02/2020,386.9241704,1.091347218,9.962459564,57.76359177,5.814180936,,,
29/02/2020,386.9101523,0.979081392,10.00341225,57.15322495,4.698744607,,,
1/03/2020,386.8913292,1.130392194,9.605326653,60.20777893,6.014042851,,,
2/03/2020,386.8677757,1.152921915,9.744036674,58.17599487,6.346507225,,,
3/03/2020,386.8395661,1.221942425,11.11910343,61.1872406,8.13518319,,,
4/03/2020,386.8067741,1.172492027,10.72283173,62.80524445,7.223128935,,,
