dates,observation,Yates,,,special_dates
6/02/2001,331.3116607,333.3104,,,
7/02/2001,331.421961,333.93124,,,
8/02/2001,331.5305166,334.0917,,,
9/02/2001,331.6373275,333.56653,,,
10/02/2001,331.7423938,333.4419,,,
11/02/2001,331.8441372,334.22192,,,
12/02/2001,331.9425579,334.08286,,,
13/02/2001,332.0376557,334.70645,,,
14/02/2001,332.1294306,334.76962,,,
15/02/2001,332.2178828,334.31015,,,
16/02/2001,332.3030121,333.62216,,,
17/02/2001,332.3848185,333.83517,,,
18/02/2001,332.4633022,334.2381,,,
19/02/2001,332.538463,334.31604,,,
20/02/2001,332.610301,334.26248,,,
21/02/2001,332.6788161,334.48944,,,
22/02/2001,332.7440085,334.9446,,,
23/02/2001,332.805878,334.93015,,,
24/02/2001,332.8644246,334.33234,,,
25/02/2001,332.9196485,333.44116,,,
26/02/2001,332.9715495,333.0887,,,
27/02/2001,333.0201276,332.7512,,,
28/02/2001,333.065383,333.04785,,,
1/03/2001,333.1073155,333.44543,,,
2/03/2001,333.1459252,334.11163,,,
3/03/2001,333.181212,333.5689,,,
4/03/2001,333.2131761,333.27426,,,
5/03/2001,333.2418172,333.82993,,,
6/03/2001,333.2671356,333.24112,,,
7/03/2001,333.2891311,333.2886,,,
8/03/2001,333.3078038,333.82852,,,
9/03/2001,333.3231537,333.3782,,,
10/03/2001,333.3351808,333.15665,,,
11/03/2001,333.343885,333.08487,,,
12/03/2001,333.3492664,333.33627,,,
13/03/2001,333.3513249,333.48532,,,
14/03/2001,333.3500606,333.40274,,,
15/03/2001,333.3454735,334.26352,,,
16/03/2001,333.3375636,334.42032,,,
17/03/2001,333.3263308,334.50226,,,
18/03/2001,333.3117752,334.3525,,,
19/03/2001,333.2938968,333.66257,,,
20/03/2001,333.2726955,333.24295,,,
21/03/2001,333.2481714,333.23886,,,
